,m/z A,m/z B,Ranking,selected_total,charge_A,charge_B,explanation_A,explanation_B,parent_isotope_idx,isotopic_classification,deviation_A,deviation_B,deviation,theoretical_mass_A,theoretical_mass_B
161,466.780285,1418.657554,196,3770.875678,2,2,y8+1,b25+2,2.9999999999998654,"b+2, y+1",0.003549999999904685,0.016767999999501626,0.02149799999915558,932.5491800000001,2836.2905
164,918.003403,967.43323,200,3770.873266,2,2,y15+1,b18+2,2.9999999999998654,"b+2, y+1",0.009915999999975611,0.00799000000029082,0.01908599999933358,1834.9890500000001,1933.8506299999997
166,349.181847,1140.564372,205,3770.874963,1,3,y3+1,b30+2,2.9999999999998654,"b+2, y+1",0.0020069999999918764,0.01759600000013961,0.020782999999482854,349.17984,3419.6598400000003
213,236.097145,1178.259151,330,3770.874598,1,3,y2+1,b31+2,2.9999999999998654,"b+2, y+1",0.0013650000000211548,0.017872999999326566,0.020417999999153835,236.09578,3532.7439000000004
217,673.3845,1212.053069,349,3770.8751380000003,2,2,y11+1,b22+2,2.9999999999998654,"b+2, y+1",0.00567999999998392,0.014098000000103639,0.020957999999609456,1345.75548,2423.0842
243,884.079238,1118.6357,549,3770.8734139999997,3,1,b24+2,y9+1,2.9999999999998654,"b+2, y+1",0.010843999999906373,0.007209999999986394,0.019233999998959916,2650.21119,1118.62849
258,808.369789,1345.763158,968,3770.8725249999998,3,1,b22+2,y11+1,2.9999999999998654,"b+2, y+1",0.009487000000262924,0.007677999999941676,0.018344999999044376,2423.0842,1345.75548
260,477.271577,1097.865943,1059,3770.8694060000003,1,3,y4+1,b29+2,2.9999999999998654,"b+2, y+1",0.0032230000000481596,0.017268999999942025,0.01522599999952945,477.2748,3291.5648800000004
1,476.274275,1098.199865,2,3770.8738700000004,1,3,y4,b29+3,2.9999999999998654,b+3,0.002824999999972988,0.015684999999848515,0.019689999999627616,476.27145,3292.5682300000003
14,705.381744,1021.83035,12,3770.872794,1,3,y6,b27+3,2.9999999999998654,b+3,0.004033999999933258,0.013399999999364809,0.018613999999161024,705.3777100000001,3063.4619700000003
15,705.381744,1021.83035,12,3770.872794,1,3,b7+3,y26,2.9999999999998654,b+3,0.0875540000000683,0.07012000000122498,0.018613999999161024,705.29419,3063.545490000001
17,348.178404,1140.89863,13,3770.874294,1,3,y3,b30+3,2.9999999999998654,b+3,0.0019139999999993051,0.017019999999774882,0.020113999999466614,348.17649,3420.66319
28,818.466536,984.13532,28,3770.872496,1,3,y7,b26+3,2.9999999999998654,b+3,0.004765999999904125,0.012369999999918946,0.01831599999923128,818.4617700000001,2950.37791
31,235.093728,1178.593302,31,3770.8736339999996,1,3,y2,b31+3,2.9999999999998654,b+3,0.0012980000000197833,0.016975999999431224,0.019453999998859217,235.09242999999998,3533.7472500000003
34,577.322546,1064.516692,35,3770.8726219999994,1,3,y5,b28+3,2.9999999999998654,b+3,0.003415999999901942,0.013845999999375636,0.018441999998685787,577.3191300000001,3191.52055
52,931.551515,946.440642,48,3770.873441,1,3,y8,b25+3,2.9999999999998654,b+3,0.0056849999998576095,0.012396000000080676,0.019260999999460182,931.5458300000001,2837.29385
61,616.340608,1269.095963,60,3770.873142,2,2,y10,b23+3,2.9999999999998654,b+3,0.005305999999791311,0.012475999999878695,0.018961999999191903,1231.6680700000002,2537.17161
76,409.736522,1475.69991,76,3770.872864,2,2,y7,b26+3,2.9999999999998654,b+3,0.0034339999998564963,0.014069999999719585,0.018683999999211665,818.4617700000001,2950.37791
112,559.319043,1326.118617,118,3770.87532,2,2,y9,b24+3,2.9999999999998654,b+3,0.005105999999841515,0.014854000000013912,0.021139999999377324,1117.62514,2651.21454
125,846.398733,1231.675462,143,3770.871661,3,1,b23+3,y10,2.9999999999998654,b+3,0.008909000000130618,0.007391999999754262,0.017480999999406777,2537.17161,1231.6680700000002
128,884.413182,1117.631792,146,3770.871338,3,1,b24+3,y9,2.9999999999998654,b+3,0.009325999999873602,0.006651999999803593,0.01715799999919909,2651.21454,1117.62514
150,466.278915,1419.158458,181,3770.8747460000004,2,2,y8,b25+3,2.9999999999998654,b+3,0.004159999999842512,0.015225999999984197,0.020565999999689666,931.5458300000001,2837.29385
160,704.794875,1180.641459,195,3770.872668,2,2,b13+3,y20,2.9999999999998654,b+3,0.0030300000000806904,0.014277999999194435,0.01848799999925177,1408.57888,2360.2608000000005
163,648.251839,1237.183441,199,3770.87056,2,2,b12+3,y21,2.9999999999998654,b+3,0.0010179999999309075,0.014181999998982064,0.01637999999911699,1295.4948200000001,2473.3448600000006
165,235.10267,1178.593302,202,3770.882576,1,3,y2,b31+3,2.9999999999998654,b+3,0.010240000000010241,0.016975999999431224,0.02839599999924758,235.09242999999998,3533.7472500000003
