m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B	line_id	mz_A_original	mz_B_original	charge_A	charge_B	deconv_method
839.09	842.48568	146024.81	124978.51	164.79868	945	11201.681641	19149.011719	18	839.491484	845.495958	5	1	ffc_line
836.48396	854.4921800000001	45768.848	43035.287	137.60224	3409	41186.617188	2513.413574	18	837.086062	857.524124	5	1	ffc_line
845.28542	859.50198	142782.64	115186.01	153.05003	1665	13109.088867	30220.404297	19	845.085488	859.501967	5	1	ffc_line
841.4911200000001	873.50408	117422.8	93481.002	124.94063	6067	8686.083984	48761.707031	19	841.68949	876.507045	5	1	ffc_line
844.8939399999999	854.4921800000001	47184.357	43509.881	104.75684	14203	13391.432617	3856.620361	19	845.696579	856.488768	5	1	ffc_line
841.4911200000001	873.50408	252245.56	157945.83	104.0908	14578	8574.279297	203328.3125	19	842.293689	873.504097	5	1	ffc_line
841.4911200000001	873.50408	93022.385	81501.043	143.89727	2558	13469.094727	8567.798828	19	841.892468	875.512581	5	1	ffc_line
823.4915	966.5183800000001	12147.63	10102.813	115.20294	9271	2921.623047	6724.737305	19	823.491502	967.521518	5	1	ffc_line
844.8939399999999	854.4921800000001	26210.843	24441.589	104.37245	14417	13391.432617	2551.568604	19	845.696579	856.507108	5	1	ffc_line
844.8939399999999	854.4921800000001	26088.106	24627.547	122.97499	6599	19149.011719	2513.413574	19	845.495958	857.524124	5	1	ffc_line
787.2145800000001	958.3948300000001	18900.246	18193.777	112.04695	10581	7935.182129	2725.311768	20	787.465422	957.891489	4	2	ffc_line
839.293905	853.75313	16424.452	15192.642	108.42964	12301	3183.197998	4318.995117	20	839.293912	854.255752	4	2	ffc_line
843.879905	842.58568	61248.537	51352.651	141.4519	2853	5471.580566	13109.088867	20	843.879908	845.085488	4	2	ffc_line
